Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate
S. Handanovič,Samir Handanovič,84,84,4700000,GK,GK,Slovenia,https://cdn.sofifa.net/players/162/835/23_60.png,37,193,92,1265,443,Inter,46000,7800000,GK,2023,1,2012,-,Right,3,1,3,-,-,-,-,Medium,Medium
D. Mertens,Dries Mertens,84,84,18000000,"CF,ST,CAM",CF,Belgium,https://cdn.sofifa.net/players/175/943/23_60.png,35,169,61,1980,410,Galatasaray SK,86000,34200000,CF,2023,10,2022,-,Right,4,4,3,Belgium,https://cdn.sofifa.net/flags/be.png,SUB,14,High,Low
L. Suárez,Luis Suárez,84,84,18000000,ST,ST,Uruguay,https://cdn.sofifa.net/players/176/580/23_60.png,35,182,86,2231,439,Club Nacional de Football,1000,39600000,ST,2022,9,2022,-,Right,4,3,4,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,Medium
D. Tadić,Dušan Tadić,84,84,26500000,"LW,CF,CAM",LW,Serbia,https://cdn.sofifa.net/players/199/434/23_60.png,33,181,76,2106,439,Ajax,32000,37100000,RW,2024,10,2018,-,Left,3,4,3,-,-,-,-,Medium,Medium
D. Berardi,Domenico Berardi,84,84,45000000,"RM,RW",RM,Italy,https://cdn.sofifa.net/players/210/935/23_60.png,27,183,72,2063,437,U.S. Sassuolo Calcio,57000,76500000,SUB,2027,10,2012,-,Left,3,4,2,Italy,https://cdn.sofifa.net/flags/it.png,SUB,11,Medium,Medium
T. Partey,Thomas Partey,84,84,36000000,"CDM,CM",CDM,Ghana,https://cdn.sofifa.net/players/209/989/23_60.png,29,185,77,2143,460,Arsenal,115000,68400000,CDM,2024,5,2020,-,Right,3,3,2,Ghana,https://cdn.sofifa.net/flags/gh.png,CDM,6,Medium,High
Y. Bounou,Yassine Bounou,84,84,22500000,GK,GK,Morocco,https://cdn.sofifa.net/players/209/981/23_60.png,31,192,78,1262,447,Sevilla FC,34000,47300000,GK,2025,13,2020,-,Left,2,1,1,Morocco,https://cdn.sofifa.net/flags/ma.png,GK,1,Medium,Medium
H. Çalhanoğlu,Hakan Çalhanoğlu,84,84,42000000,CM,CM,Turkey,https://cdn.sofifa.net/players/208/128/23_60.png,28,178,76,2172,450,Inter,100000,69300000,CM,2024,20,2021,-,Right,4,4,3,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,High
M. Kovačić,Mateo Kovačić,84,84,42000000,CM,CM,Croatia,https://cdn.sofifa.net/players/207/410/23_60.png,28,176,80,2141,452,Chelsea,155000,77700000,SUB,2024,8,2019,-,Right,4,4,3,Croatia,https://cdn.sofifa.net/flags/hr.png,CM,8,High,High
J. Grealish,Jack Grealish,84,84,46000000,"LW,LM,CAM",LW,England,https://cdn.sofifa.net/players/206/517/23_60.png,26,180,81,2017,437,Manchester City,185000,85100000,SUB,2027,10,2021,-,Right,3,4,3,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,10,High,Medium
Carvajal,Daniel Carvajal Ramos,84,84,36500000,RB,RB,Spain,https://cdn.sofifa.net/players/204/963/23_60.png,30,173,73,2105,450,Real Madrid CF,185000,74800000,RB,2025,2,2013,-,Right,3,3,3,Spain,https://cdn.sofifa.net/flags/es.png,RB,20,High,Medium
S. Savić,Stefan Savić,84,84,29000000,CB,CB,Montenegro,https://cdn.sofifa.net/players/204/639/23_60.png,31,187,80,1755,382,Atlético de Madrid,74000,59500000,CB,2024,15,2015,-,Right,3,2,2,-,-,-,-,Medium,High
E. Martínez,Emiliano Martínez,84,84,29000000,GK,GK,Argentina,https://cdn.sofifa.net/players/202/811/23_60.png,29,195,88,1457,476,Aston Villa,95000,55100000,GK,2027,1,2020,-,Right,4,1,3,Argentina,https://cdn.sofifa.net/flags/ar.png,GK,23,Medium,Medium
R. Varane,Raphaël Varane,84,85,39000000,CB,CB,France,https://cdn.sofifa.net/players/201/535/23_60.png,29,191,81,1910,425,Manchester United,155000,77000000,CB,2025,19,2021,-,Right,4,2,3,France,https://cdn.sofifa.net/flags/fr.png,CB,4,Medium,High
W. Ben Yedder,Wissam Ben Yedder,84,84,35500000,ST,CF,France,https://cdn.sofifa.net/players/199/451/23_60.png,31,170,68,2102,438,AS Monaco,88000,67500000,ST,2024,10,2019,-,Right,5,4,2,France,https://cdn.sofifa.net/flags/fr.png,SUB,9,High,Low
L. Insigne,Lorenzo Insigne,84,84,35000000,"LW,CF,LM",CAM,Italy,https://cdn.sofifa.net/players/198/219/23_60.png,31,163,59,2013,416,Toronto FC,19000,52500000,LW,2026,24,2022,-,Right,4,4,4,Italy,https://cdn.sofifa.net/flags/it.png,LW,10,High,Medium
M. Hummels,Mats Hummels,84,84,20000000,"CB,RB,RW",CB,Germany,https://cdn.sofifa.net/players/178/603/23_60.png,33,191,94,2024,425,Borussia Dortmund,66000,34000000,CB,2023,15,2019,-,Right,3,3,4,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
S. de Vrij,Stefan de Vrij,84,84,34500000,CB,CB,Netherlands,https://cdn.sofifa.net/players/198/176/23_60.png,30,189,78,1873,409,Inter,88000,56900000,CB,2023,6,2018,-,Right,3,2,3,Netherlands,https://cdn.sofifa.net/flags/nl.png,SUB,12,Medium,High
J. Matip,Joel Matip,84,84,34500000,CB,CB,Cameroon,https://cdn.sofifa.net/players/197/061/23_60.png,30,194,90,1899,412,Liverpool,140000,63800000,CB,2024,32,2016,-,Right,2,2,2,-,-,-,-,Medium,Medium
K. Casteels,Koen Casteels,84,85,31500000,GK,GK,Belgium,https://cdn.sofifa.net/players/192/984/23_60.png,30,197,86,1301,460,VfL Wolfsburg,55000,55900000,GK,2024,1,2015,-,Left,2,1,3,Belgium,https://cdn.sofifa.net/flags/be.png,SUB,13,Medium,Medium
Canales,Sergio Canales Madrazo,84,84,35000000,"RM,CAM,CDM",RM,Spain,https://cdn.sofifa.net/players/190/286/23_60.png,31,176,65,2213,468,Real Betis Balompié,42000,73500000,RM,2026,10,2018,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
Muniain,Iker Muniain Goñi,84,84,41500000,"LM,CAM",LM,Spain,https://cdn.sofifa.net/players/189/575/23_60.png,29,170,66,2088,439,Athletic Club de Bilbao,49000,87200000,CAM,2024,10,2009,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
K. Trippier,Kieran Trippier,84,84,30500000,"RB,RM",RB,England,https://cdn.sofifa.net/players/186/345/23_60.png,31,173,71,2181,445,Newcastle United,120000,58000000,RB,2024,2,2022,-,Right,4,3,2,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,12,Medium,Medium
L. Bonucci,Leonardo Bonucci,84,84,11000000,CB,CB,Italy,https://cdn.sofifa.net/players/184/344/23_60.png,35,190,85,1947,416,Juventus,95000,18700000,CB,2024,19,2018,-,Right,4,2,3,Italy,https://cdn.sofifa.net/flags/it.png,CB,19,Medium,High
Á. Di María,Ángel Di María,84,84,20000000,RW,RW,Argentina,https://cdn.sofifa.net/players/183/898/23_60.png,34,180,69,2142,444,Juventus,160000,34000000,RW,2023,22,2022,-,Left,2,5,4,Argentina,https://cdn.sofifa.net/flags/ar.png,LW,11,High,Medium
E. Hazard,Eden Hazard,84,84,35000000,LW,LW,Belgium,https://cdn.sofifa.net/players/183/277/23_60.png,31,175,74,2045,430,Real Madrid CF,220000,71800000,SUB,2024,7,2019,-,Right,4,4,4,Belgium,https://cdn.sofifa.net/flags/be.png,LF,10,Medium,Medium
I. Perišić,Ivan Perišić,84,84,26500000,"LM,LWB",LM,Croatia,https://cdn.sofifa.net/players/181/458/23_60.png,33,186,80,2238,472,Tottenham Hotspur,130000,50400000,SUB,2024,14,2022,-,Right,5,4,3,Croatia,https://cdn.sofifa.net/flags/hr.png,LM,4,High,Medium
E. Džeko,Edin Džeko,84,84,14500000,ST,ST,Bosnia and Herzegovina,https://cdn.sofifa.net/players/180/930/23_60.png,36,193,80,1954,415,Inter,80000,23900000,SUB,2023,9,2021,-,Right,5,3,3,-,-,-,-,Medium,Medium
G. Chiellini,Giorgio Chiellini,84,84,7500000,CB,CB,Italy,https://cdn.sofifa.net/players/138/956/23_60.png,37,187,85,1815,397,Los Angeles FC,11000,11300000,CB,2023,14,2022,-,Left,3,2,4,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High
R. De Paul,Rodrigo Javier De Paul,84,84,42000000,CM,CM,Argentina,https://cdn.sofifa.net/players/212/616/23_60.png,28,180,70,2240,476,Atlético de Madrid,85000,86100000,CM,2026,5,2021,-,Right,3,4,1,Argentina,https://cdn.sofifa.net/flags/ar.png,CM,7,High,Medium
J. Bellingham,Jude Bellingham,84,91,81500000,"CM,LM",CM,England,https://cdn.sofifa.net/players/252/371/23_60.png,19,186,75,2182,469,Borussia Dortmund,41000,154900000,CDM,2025,22,2020,-,Right,4,4,2,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,26,High,High
F. Chiesa,Federico Chiesa,84,90,66500000,LW,RM,Italy,https://cdn.sofifa.net/players/235/805/23_60.png,24,175,70,2073,455,Juventus,140000,126400000,SUB,2025,7,2022,-,Right,4,4,3,Italy,https://cdn.sofifa.net/flags/it.png,RW,14,High,Medium
M. Diaby,Moussa Diaby,84,88,61500000,"RM,LM,LW",RM,France,https://cdn.sofifa.net/players/241/852/23_60.png,22,171,67,1960,429,Bayer 04 Leverkusen,70000,109200000,RM,2025,19,2019,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low
J. Tartt,Jamie Tartt,84,91,85500000,ST,CAM,England,https://cdn.sofifa.net/players/269/761/23_60.png,24,178,84,2073,438,AFC Richmond,78000,179600000,ST,2025,9,2020,-,Right,4,5,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Low
Rafael Leão,Rafael da Conceição Leão,84,90,66500000,"LW,LM",LW,Portugal,https://cdn.sofifa.net/players/241/721/23_60.png,23,188,81,1971,428,AC Milan,90000,126400000,LW,2024,17,2019,-,Right,4,4,1,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,15,Medium,Low
J. Koundé,Jules Koundé,84,89,57500000,"CB,RB",CB,France,https://cdn.sofifa.net/players/241/486/23_60.png,23,181,75,1926,430,FC Barcelona,150000,122200000,RB,2027,23,2022,-,Right,3,2,2,France,https://cdn.sofifa.net/flags/fr.png,SUB,5,High,High
Y. Tielemans,Youri Tielemans,84,86,52500000,"CM,CDM",CM,Belgium,https://cdn.sofifa.net/players/216/393/23_60.png,25,176,72,2187,446,Leicester City,115000,103700000,CM,2023,8,2019,-,Right,5,4,2,Belgium,https://cdn.sofifa.net/flags/be.png,CM,8,Medium,Medium
S. Tonali,Sandro Tonali,84,90,62500000,"CDM,CM",CDM,Italy,https://cdn.sofifa.net/players/241/096/23_60.png,22,181,79,2225,475,AC Milan,75000,118800000,CM,2027,8,2021,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High
L. Díaz,Luis Díaz,84,87,56000000,"LW,LM",RM,Colombia,https://cdn.sofifa.net/players/241/084/23_60.png,25,180,73,2049,440,Liverpool,155000,107800000,LW,2027,23,2022,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium
Éder Militão,Éder Gabriel Militão,84,89,57500000,CB,CB,Brazil,https://cdn.sofifa.net/players/240/130/23_60.png,24,186,78,2043,445,Real Madrid CF,160000,122200000,SUB,2025,3,2019,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
F. Valverde,Federico Valverde,84,90,66000000,"CM,RW",CM,Uruguay,https://cdn.sofifa.net/players/239/053/23_60.png,23,182,78,2192,478,Real Madrid CF,175000,148500000,SUB,2027,15,2016,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,High
L. Sané,Leroy Sané,84,85,49500000,LM,LM,Germany,https://cdn.sofifa.net/players/222/492/23_60.png,26,183,80,2086,438,FC Bayern München,90000,85400000,LM,2025,10,2020,-,Left,2,4,3,Germany,https://cdn.sofifa.net/flags/de.png,LM,19,Medium,Medium
R. James,Reece James,84,88,57000000,"RWB,RB",RWB,England,https://cdn.sofifa.net/players/238/074/23_60.png,22,178,87,2225,477,Chelsea,120000,109700000,RWB,2025,24,2017,-,Right,3,3,2,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,3,High,Medium
A. Bastoni,Alessandro Bastoni,84,90,60500000,CB,CB,Italy,https://cdn.sofifa.net/players/237/383/23_60.png,23,190,75,1890,416,Inter,75000,111900000,CB,2024,95,2017,-,Left,3,2,1,Italy,https://cdn.sofifa.net/flags/it.png,CB,23,Medium,High
K. Havertz,Kai Havertz,84,91,84500000,"CAM,CF,ST",CAM,Germany,https://cdn.sofifa.net/players/235/790/23_60.png,23,189,82,2042,434,Chelsea,130000,173200000,LW,2025,29,2020,-,Left,4,4,3,Germany,https://cdn.sofifa.net/flags/de.png,SUB,7,Medium,Medium
João Félix,João Félix Sequeira,84,90,68500000,"CF,ST",CAM,Portugal,https://cdn.sofifa.net/players/242/444/23_60.png,22,181,72,2110,439,Atlético de Madrid,78000,154100000,ST,2026,7,2019,-,Right,4,5,2,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,23,Medium,Medium
A. Hakimi,Achraf Hakimi,84,87,53500000,"RB,RWB",RB,Morocco,https://cdn.sofifa.net/players/235/212/23_60.png,23,181,73,2229,479,Paris Saint-Germain,90000,103000000,RWB,2026,2,2021,-,Right,4,4,2,Morocco,https://cdn.sofifa.net/flags/ma.png,RB,2,High,Medium
A. Davies,Alphonso Davies,84,89,60500000,"LB,LM",LM,Canada,https://cdn.sofifa.net/players/234/396/23_60.png,21,185,77,2170,475,FC Bayern München,59000,104400000,LB,2025,19,2019,-,Left,4,4,3,Canada,https://cdn.sofifa.net/flags/ca.png,LW,19,High,Low
D. Rice,Declan Rice,84,87,52000000,CDM,CDM,England,https://cdn.sofifa.net/players/234/378/23_60.png,23,185,80,2075,450,West Ham United,83000,102700000,CDM,2024,41,2016,-,Right,3,2,1,England,https://cdn.sofifa.net/flags/gb-eng.png,CM,4,Medium,High
M. Mount,Mason Mount,84,87,57500000,"CAM,RW",CAM,England,https://cdn.sofifa.net/players/233/064/23_60.png,23,180,74,2119,444,Chelsea,130000,110700000,RW,2024,19,2016,-,Right,4,3,3,England,https://cdn.sofifa.net/flags/gb-eng.png,CAM,19,High,High
J. Sancho,Jadon Sancho,84,88,61500000,"LW,RW,LM",CAM,England,https://cdn.sofifa.net/players/233/049/23_60.png,22,180,76,1977,420,Manchester United,155000,121500000,LM,2026,25,2021,-,Right,3,5,3,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,17,High,Medium
F. Tomori,Fikayo Tomori,84,90,60500000,CB,CB,England,https://cdn.sofifa.net/players/232/756/23_60.png,24,185,79,1875,419,AC Milan,75000,115000000,CB,2027,23,2021,-,Right,4,2,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High
F. Kessié,Franck Yannick Kessié,84,86,47500000,"CDM,CM",CDM,Côte d'Ivoire,https://cdn.sofifa.net/players/230/938/23_60.png,25,183,88,2206,476,FC Barcelona,165000,100900000,SUB,2026,19,2022,-,Right,4,3,3,-,-,-,-,High,High
Oyarzabal,Mikel Oyarzabal Ugarte,84,86,53000000,"LW,RW",LW,Spain,https://cdn.sofifa.net/players/230/142/23_60.png,25,181,79,2044,428,Real Sociedad,57000,115300000,SUB,2024,10,2014,-,Left,3,3,2,Spain,https://cdn.sofifa.net/flags/es.png,LW,21,High,Medium
L. Pellegrini,Lorenzo Pellegrini,84,87,55000000,"CAM,CM",CAM,Italy,https://cdn.sofifa.net/players/228/251/23_60.png,26,186,77,2258,475,Roma,95000,97600000,CM,2026,7,2017,-,Right,4,3,2,Italy,https://cdn.sofifa.net/flags/it.png,SUB,7,High,High
W. Ndidi,Wilfred Ndidi,84,86,47500000,"CDM,CM",CB,Nigeria,https://cdn.sofifa.net/players/226/790/23_60.png,25,183,74,2087,437,Leicester City,105000,93800000,CDM,2024,25,2017,-,Right,4,3,1,-,-,-,-,Medium,High
Marcos Llorente,Marcos Llorente Moreno,84,85,48000000,"CM,RM,RB",CAM,Spain,https://cdn.sofifa.net/players/226/161/23_60.png,27,184,74,2244,489,Atlético de Madrid,81000,102000000,SUB,2027,14,2019,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,SUB,6,High,Medium
M. Ødegaard,Martin Ødegaard,84,89,63500000,"CAM,CM",CAM,Norway,https://cdn.sofifa.net/players/222/665/23_60.png,23,178,68,2109,442,Arsenal,105000,125400000,CAM,2026,8,2021,-,Left,2,5,3,Norway,https://cdn.sofifa.net/flags/no.png,CM,10,High,Medium
D. Vlahović,Dušan Vlahović,84,91,86500000,ST,ST,Serbia,https://cdn.sofifa.net/players/246/430/23_60.png,22,190,75,1912,416,Juventus,140000,164400000,ST,2026,9,2022,-,Left,3,3,2,-,-,-,-,Medium,Medium
Diego Carlos,Diego Carlos Santos Silva,83,83,30500000,CB,CB,Brazil,https://cdn.sofifa.net/players/219/693/23_60.png,29,186,79,1918,417,Aston Villa,105000,58000000,SUB,2026,3,2022,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High
Angeliño,José Ángel Esmoris Tasende,83,85,42000000,"LWB,LM",LM,Spain,https://cdn.sofifa.net/players/220/651/23_60.png,25,171,69,2209,461,TSG Hoffenheim,64000,0,LWB,2023,11,2021,TRUE,Left,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High
O. Dembélé,Ousmane Dembélé,83,86,48000000,"RW,LW",LM,France,https://cdn.sofifa.net/players/231/443/23_60.png,25,178,67,2002,428,FC Barcelona,180000,102000000,RW,2024,7,2017,-,Left,5,5,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium
Marco Asensio,Marco Asensio Willemsen,83,84,43000000,RW,RW,Spain,https://cdn.sofifa.net/players/220/834/23_60.png,26,182,76,2036,431,Real Madrid CF,200000,91400000,SUB,2023,11,2015,-,Left,3,4,3,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
Rúben Neves,Rúben Diogo da Silva Neves,83,86,47500000,"CM,CDM",CM,Portugal,https://cdn.sofifa.net/players/224/293/23_60.png,25,180,80,2171,444,Wolverhampton Wanderers,105000,93800000,CDM,2024,8,2017,-,Right,4,3,2,Portugal,https://cdn.sofifa.net/flags/pt.png,CDM,18,Low,High
Merino,Mikel Merino Zazón,83,86,47000000,CM,CM,Spain,https://cdn.sofifa.net/players/225/193/23_60.png,26,189,83,2247,477,Real Sociedad,49000,102200000,CM,2025,8,2018,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High
K. Laimer,Konrad Laimer,83,84,38500000,"CDM,CM",CDM,Austria,https://cdn.sofifa.net/players/225/375/23_60.png,25,180,72,2156,468,RB Leipzig,64000,68300000,SUB,2023,27,2017,-,Right,3,3,2,Austria,https://cdn.sofifa.net/flags/at.png,RM,20,Medium,High
P. Kimpembe,Presnel Kimpembe,83,86,42000000,CB,CB,France,https://cdn.sofifa.net/players/225/850/23_60.png,26,189,80,1943,429,Paris Saint-Germain,95000,80900000,RES,2024,3,2015,-,Left,3,2,3,France,https://cdn.sofifa.net/flags/fr.png,SUB,3,Medium,High
Fabián,Fabián Ruiz Peña,83,85,44500000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/226/271/23_60.png,26,189,70,2125,449,Paris Saint-Germain,105000,85700000,SUB,2027,8,2022,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
F. Mendy,Ferland Mendy,83,84,38000000,LB,LB,France,https://cdn.sofifa.net/players/228/618/23_60.png,27,180,73,2158,473,Real Madrid CF,170000,80800000,LB,2025,23,2019,-,Left,5,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,83,35000000,"CAM,RM",RM,Brazil,https://cdn.sofifa.net/players/230/481/23_60.png,30,177,75,2098,439,Palmeiras,59000,63000000,RM,2025,10,2022,-,Right,4,4,1,Brazil,https://cdn.sofifa.net/flags/br.png,RM,7,Medium,Low
Gabriel Jesus,Gabriel Fernando de Jesus,83,86,48500000,"ST,RW",ST,Brazil,https://cdn.sofifa.net/players/230/666/23_60.png,25,175,73,2078,440,Arsenal,115000,95800000,ST,2027,9,2022,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High
Unai Simón,Unai Simón Mendibil,83,86,37000000,GK,GK,Spain,https://cdn.sofifa.net/players/230/869/23_60.png,25,190,89,1311,457,Athletic Club de Bilbao,30000,80500000,GK,2025,1,2015,-,Right,3,1,3,Spain,https://cdn.sofifa.net/flags/es.png,GK,23,Medium,Medium
V. Osimhen,Victor Osimhen,83,89,58000000,ST,ST,Nigeria,https://cdn.sofifa.net/players/232/293/23_60.png,23,185,78,1999,436,Napoli,72000,110200000,SUB,2025,9,2020,-,Right,4,3,2,-,-,-,-,High,Medium
P. Højbjerg,Pierre-Emile Højbjerg,83,85,40500000,"CDM,CM",CDM,Denmark,https://cdn.sofifa.net/players/213/648/23_60.png,26,187,84,2108,444,Tottenham Hotspur,110000,80000000,CM,2025,5,2020,-,Right,4,3,2,Denmark,https://cdn.sofifa.net/flags/dk.png,CM,23,High,High
C. Romero,Cristian Romero,83,88,49500000,CB,CB,Argentina,https://cdn.sofifa.net/players/232/488/23_60.png,24,185,79,1874,408,Tottenham Hotspur,95000,97800000,CB,2027,17,2022,-,Right,2,3,3,Argentina,https://cdn.sofifa.net/flags/ar.png,CB,13,Medium,High
Raphinha,Raphael Dias Belloli,83,86,48000000,"RW,RM",LM,Brazil,https://cdn.sofifa.net/players/233/419/23_60.png,25,176,68,2129,455,FC Barcelona,180000,102000000,SUB,2027,22,2022,-,Left,4,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High
Carlos Soler,Carlos Soler Barragán,83,88,53000000,"CM,RM,CDM",CM,Spain,https://cdn.sofifa.net/players/234/153/23_60.png,25,180,76,2183,463,Paris Saint-Germain,100000,102000000,SUB,2027,28,2022,-,Right,4,3,2,Spain,https://cdn.sofifa.net/flags/es.png,SUB,17,Medium,Medium
G. Kobel,Gregor Kobel,83,88,44000000,GK,GK,Switzerland,https://cdn.sofifa.net/players/235/073/23_60.png,24,195,88,1251,448,Borussia Dortmund,40000,78100000,GK,2026,1,2021,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium
Pau Torres,Pau Francisco Torres,83,89,50500000,CB,CB,Spain,https://cdn.sofifa.net/players/241/464/23_60.png,25,191,80,1891,413,Villarreal CF,43000,116200000,CB,2024,4,2016,-,Left,3,2,2,Spain,https://cdn.sofifa.net/flags/es.png,SUB,12,Medium,High
C. Gakpo,Cody Gakpo,83,87,52000000,LW,RM,Netherlands,https://cdn.sofifa.net/players/242/516/23_60.png,23,189,76,2057,445,PSV,29000,76700000,LW,2026,11,2016,-,Right,4,4,2,Netherlands,https://cdn.sofifa.net/flags/nl.png,SUB,9,Medium,Medium
R. Araujo,Ronald Araujo,83,89,52000000,"CB,RB",CB,Uruguay,https://cdn.sofifa.net/players/253/163/23_60.png,23,192,91,1905,420,FC Barcelona,135000,117000000,CB,2026,4,2018,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,High
R. Kent,Roy Kent,83,83,0,"CDM,CM",CDM,England,https://cdn.sofifa.net/players/269/760/23_60.png,40,182,82,2114,444,AFC Richmond,45000,0,CM,2024,6,2018,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High
D. Zapata,Duván Zapata,83,83,30500000,ST,ST,Colombia,https://cdn.sofifa.net/players/215/333/23_60.png,31,189,88,1928,422,Atalanta,77000,51900000,SUB,2024,91,2020,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium
Á. Correa,Ángel Correa,83,84,42500000,"ST,RM,CF",CF,Argentina,https://cdn.sofifa.net/players/214/997/23_60.png,27,171,70,2140,457,Atlético de Madrid,80000,90300000,SUB,2026,10,2014,-,Right,4,4,2,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,9,High,Medium
J. Giménez,José María Giménez,83,85,38500000,CB,CB,Uruguay,https://cdn.sofifa.net/players/216/460/23_60.png,27,185,79,1820,402,Atlético de Madrid,68000,81800000,SUB,2025,2,2013,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,High
T. Lemar,Thomas Lemar,83,86,47000000,"CM,LM,RM",CAM,France,https://cdn.sofifa.net/players/213/565/23_60.png,26,171,66,2215,462,Atlético de Madrid,74000,99900000,SUB,2023,11,2018,-,Left,3,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High
Bremer,Gleison Bremer Silva Nascimento,83,87,45500000,CB,CB,Brazil,https://cdn.sofifa.net/players/239/580/23_60.png,25,188,82,1869,412,Juventus,115000,80800000,CB,2027,3,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium
J. Cuadrado,Juan Cuadrado,83,83,13500000,"RB,RM",RB,Colombia,https://cdn.sofifa.net/players/193/082/23_60.png,34,179,72,2234,478,Juventus,120000,23000000,RB,2023,11,2017,-,Right,3,5,3,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium
P. Zieliński,Piotr Zieliński,83,83,36500000,"CAM,CM",CAM,Poland,https://cdn.sofifa.net/players/210/406/23_60.png,28,180,75,2132,457,Napoli,78000,62100000,CM,2024,20,2016,-,Right,5,4,3,Poland,https://cdn.sofifa.net/flags/pl.png,CAM,20,Medium,Medium
